chains,classification,date,target,amount,name,technique,bridge,link
['BSC'],Protocol Logic,1690156800,DeFi Protocol,900000.0,Palmswap,Inflationary Accounting Manipulation,False,https://twitter.com/peckshield/status/1683609019334950912
['Ethereum'],Smart Contract Language,1628553600,DeFi Protocol,8950000.0,Punk Protocol,Delegatecall Exploit,False,https://medium.com/punkprotocol/punk-finance-fair-launch-incident-report-984d9e340eb
['Ethereum'],Protocol Logic,1668038400,DeFi Protocol,4000000.0,DFX,Reentrancy,False,https://twitter.com/peckshield/status/1590831589004816384?s=20&t=0ylCEXp_O5DBIbFTAHA9vA
['Ethereum'],Infrastructure,1689984000,DeFi Protocol,300000.0,Conic Finance,Flashloan Price Oracle Attack,False,https://medium.com/@ConicFinance/post-mortem-eth-and-crvusd-omnipool-exploits-c9c7fa213a3d
['Ethereum'],Protocol Logic,1709856000,DeFi Protocol,2100000.0,Unizen,External Call Vulnerability,False,https://twitter.com/peckshield/status/1766210445415727608
['Ethereum'],Ecosystem,1650153600,DeFi Protocol,181000000.0,Beanstalk,Flashloan Governance Attack,False,https://twitter.com/FrankResearcher/status/1515693895887294466?s=20
['BSC'],Ecosystem,1624320000,DeFi Protocol,4500000.0,Eleven Finance,Flashloan Burn Function Exploit,False,https://rekt.news/11-rekt/
['Ethereum'],Ecosystem,1689897600,DeFi Protocol,3200000.0,Conic Finance,Flashloan Reentrancy Attack,False,https://twitter.com/ConicFinance/status/1682385596700844032?t=4a-w-I06_7EcbwpKWbPZHA&s=19
['Polygon'],Rugpull,1659916800,DeFi Protocol,3500000.0,Dragoma,Drain Vaults,False,https://www.coindesk.com/business/2022/08/08/polygon-based-web3-game-dragoma-supporters-fall-victim-to-35m-rug-pull-peckshield/
['Ethereum'],Infrastructure,1660003200,DeFi Protocol,575000.0,Curve Finance,DNS Spoofing,False,https://rekt.news/curve-finance-rekt/
['BSC'],Rugpull,1614816000,DeFi Protocol,32000000.0,Meerkat Finance,Drained Contracts,False,https://rekt.news/meerkat-finance-bsc-rekt/
['Ethereum'],Protocol Logic,1705017600,DeFi Protocol,464000.0,Wise Lending,Rounding Donation Attack,False,https://twitter.com/spreekaway/status/1745892488127070270
['Ethereum'],Ecosystem,1608249600,DeFi Protocol,7800000.0,Warp Finance,Flashloan Price Oracle Attack,False,https://rekt.news/warp-finance-rekt/
['Ethereum'],Infrastructure,1663632000,Other,160000000.0,Wintermute,Private Key Compromised (Brute Force),False,https://slowmist.medium.com/the-real-cause-of-the-wintermute-exploit-10da7e404b3b
['Harmony'],Infrastructure,1638921600,DeFi Protocol,1750000.0,8ight Finance,Private Key Compromised (Unknown Method),False,https://rekt.news/8ight-finance-rekt/
['Ethereum'],Protocol Logic,1671926400,DeFi Protocol,1410000.0,Rubic,Router Exploit,True,https://twitter.com/peckshield/status/1606937055761952770?s=20&t=Vdvjv2C7zUazmgvQ2SOQow
['Solana'],Infrastructure,1659398400,Wallet,5300000.0,Slope Wallet,Private Key Compromised (Stored Publicly),False,https://solana.com/news/8-2-2022-application-wallet-incident
[],Infrastructure,1681430400,CEX,23000000.0,Bitrue,Hot wallet hack,False,https://twitter.com/BTCTN/status/1646915702907973632
['BSC'],Ecosystem,1618185600,DeFi Protocol,22200000.0,Elephant Money,Flashloan Price Oracle Attack,False,https://twitter.com/BlockSecTeam/status/1513966074357698563
['Cronos'],Protocol Logic,1708560000,DeFi Protocol,250000.0,Tectonic,Flashloan New Market Exploit,False,https://cronoscan.com/tx/0x4c4584a57e5487a06e61c815c7ee368656ad58bd38774184eadcd97072dc1e4b
['Ethereum'],Ecosystem,1655337600,DeFi Protocol,5800000.0,Inverse Finance,Flashloan Price Oracle Attack,False,https://twitter.com/peckshield/status/1537382891230883841?s=20&t=uxBt2fIcD_f82MM2VD3pCg
['Near'],Protocol Logic,1667347200,DeFi Protocol,3000000.0,Skyward Finance,Reentrancy,False,https://twitter.com/skywardfinance/status/1587947957789331457
['Ethereum'],Infrastructure,1628726400,DeFi Protocol,7000000.0,DAO Maker,Private Key Compromised (Unknown Method),False,https://cointelegraph.com/news/dao-maker-crowdfunding-platform-loses-7m-in-latest-defi-exploit
['Ethereum'],Smart Contract Language,1587254400,DeFi Protocol,1200000.0,Lendf.me,Reentrancy,False,https://slowmist.medium.com/slowmist-details-of-lendf-me-reentrancy-attack-3e168ab5f2b1
['BSC'],Protocol Logic,1675296000,DeFi Protocol,3000000.0,Orion,Reentrancy,False,https://twitter.com/peckshield/status/1621337925228306433?s=20&t=ZroERzkeCrxy3gHxtboQeA
['Arbitrum'],Protocol Logic,1688428800,DeFi Protocol,90000.0,Rodeo Finance,Mint Reserves Logic Exploit,False,https://twitter.com/Phalcon_xyz/status/1676511696603729921?s=20
"['Ethereum', 'Bitcoin']",Infrastructure,1642464000,CEX,33700000.0,Crypto.com,Private Key Compromised (Unknown Method),False,https://rekt.news/cryptocom-rekt/
['Ethereum'],Ecosystem,1605571200,DeFi Protocol,8000000.0,Origin Protocol,Flashloan Reentrancy Attack,False,https://rekt.news/hack-epidemic/
['Ethereum'],Ecosystem,1605484800,DeFi Protocol,3300000.0,CheeseBank,Flashloan Price Oracle Attack,False,https://twitter.com/CheeseBank2020/status/1328343819201380353?s=20&t=qtl30Yo9ErEoVr8v3T20dg
['Ethereum'],Protocol Logic,1666828800,DeFi Protocol,15800000.0,Team Finance,Migrate Function Mistake Exploit,False,https://twitter.com/peckshield/status/1585587858978623491?s=20&t=vAGSJQ0ivXGoOv80bGx4iQ
['Ethereum'],Protocol Logic,1632873600,DeFi Protocol,147000000.0,Compound,Math Mistake Exploit,False,https://rekt.news/compound-rekt/
['Arbitrum'],Protocol Logic,1714435200,DeFi Protocol,181000.0,Yield Protocol,Balance Disparity Exploit,False,https://twitter.com/peckshield/status/1785121607192817692
['Polygon'],Ecosystem,1673913600,DeFi Protocol,660000.0,Midas Capital,Flashloan Reentrancy Attack,False,https://rekt.news/midas-capital-rekt/
['Ethereum'],Infrastructure,1702425600,DeFi Protocol,2700000.0,OKX DEX,Private Key Compromised (Unknown Method),False,https://twitter.com/TheBlock__/status/1734921504523956630
['Optimism'],Protocol Logic,1692316800,DeFi Protocol,7200000.0,Exactly Protocol,DebtManager Exploit,False,https://twitter.com/DeDotFiSecurity/status/1692549866713407912
['Ethereum'],Ecosystem,1634169600,DeFi Protocol,16000000.0,Indexed Finance,Flashloan Price Oracle Attack,False,https://ndxfi.medium.com/indexed-attack-post-mortem-b006094f0bdc
['Ethereum'],Protocol Logic,1626307200,DeFi Protocol,5000000.0,THORChain,Over-ride Logic Exploit,False,https://rekt.news/thorchain-rekt/
['Arbitrum'],Protocol Logic,1704326400,DeFi Protocol,4500000.0,Gamma,,False,https://twitter.com/peckshieldalert/status/1742753372334399513
['Ethereum'],Infrastructure,1699488000,CEX,2400000.0,CoinSpot,Private Key Compromised (Unknown Method),False,https://twitter.com/PeckShieldAlert/status/1722412658404843691
['Arbitrum'],Ecosystem,1670630400,DeFi Protocol,6900000.0,Lodestar Finance,Flashloan Price Oracle Attack,False,https://twitter.com/BowTiedPickle/status/1601650177369993216?s=20&t=lv-ruhz34Xz7S_fZVFZj7w
['BSC'],Ecosystem,1621382400,DeFi Protocol,45000000.0,PancakeBunny,Flashloan Price Oracle Attack,False,https://peckshield.medium.com/pancakebunny-incident-root-cause-analysis-7099f413cc9b
['BSC'],Ecosystem,1680393600,DeFi Protocol,650000.0,Allbridge Core,Flashloan Price Oracle Attack,True,https://allbridge.medium.com/allbridge-core-updates-following-the-relaunch-9f7716eeb5da
['Arbitrum'],Protocol Logic,1683244800,DeFi Protocol,5000000.0,DEUS Finance,Burn Function Mistake,False,https://twitter.com/storming0x/status/1654561199999135747?s=20
['BSC'],Ecosystem,1629158400,DeFi Protocol,4000000.0,SurgeBNB,Flashloan Reentrancy Attack,False,https://beosin.medium.com/a-sweet-blow-fb0a5e08657d
['Loopring'],Protocol Logic,1717891200,DeFi Protocol,5000000.0,Loopring,Guardian 2FA service exploit,False,https://x.com/loopringorg/status/1799791898296451515
['Arbitrum'],Ecosystem,1686787200,DeFi Protocol,37000.0,Hyperliquid,CEX Price Manipulation Attack,False,https://twitter.com/HyperliquidX/status/1669818300191363073
['Polygon'],Infrastructure,1661990400,DeFi Protocol,265000.0,KyberSwap,Cloudflare Key Compromised,False,https://blog.kyberswap.com/post-mortem-past-kyberswap-frontend-exploit-sept-2022/
['Mixin'],Infrastructure,1695427200,Other,200000000.0,Mixin Network,Database Attack,False,https://twitter.com/MixinKernel/status/1706139175018529139
['Ethereum'],Ecosystem,1686528000,DeFi Protocol,770000.0,Sturdy,Flashloan Reentrancy Attack,False,https://twitter.com/blocksecteam/status/1668084629654638592
['Ethereum'],Protocol Logic,1466121600,DeFi Protocol,60000000.0,The DAO,Reentrancy,False,https://ogucluturk.medium.com/the-dao-hack-explained-unfortunate-take-off-of-smart-contracts-2bd8c8db3562
"['Polygon', 'BSC']",Infrastructure,1636070400,DeFi Protocol,55000000.0,bZx,Private Key Compromised (Phishing),False,https://medium.com/tidal-finance/bzx-incident-report-e36828347a86
['BSC'],Protocol Logic,1643328000,DeFi Protocol,80000000.0,Qubit Finance,Transfer Logic Exploit,True,https://medium.com/@QubitFin/protocol-exploit-report-305c34540fa3
['Solana'],Infrastructure,1671148800,DeFi Protocol,4400000.0,Raydium,Private Key Compromised (Unknown Method),False,https://twitter.com/osec_io/status/1603763023151509505?s=20&t=_J9Y8NV-o0QeXHtnkyR-4A
['Solana'],Ecosystem,1667347200,DeFi Protocol,1260000.0,Solend,Price Oracle Attack,False,https://twitter.com/solendprotocol/status/1587671511137398784
['Icon'],Protocol Logic,1674259200,DeFi Protocol,1891000.0,Omm,Redeem Function Exploit,False,https://forum.omm.finance/t/omm-exploit-postmortem-january-2023/266
"['Ethereum', 'Tron', 'BSC', 'Bitcoin', 'Polkadot', 'Avalanche']",Infrastructure,1685750400,Wallet,100000000.0,Atomic Wallet,Private Key Compromised (Unknown Method),False,https://twitter.com/tayvano_/status/1668778031790587905?t=ZXAVt7ExhHZcGIzs5ZD33w&s=19
['Ethereum'],Protocol Logic,1705363200,DeFi Protocol,3300000.0,Bungee,Token approval exploit,True,https://www.dlnews.com/articles/defi/hacker-swipes-33m-from-bungee-crypto-bridge-users/
['Polygon'],Protocol Logic,1644278400,DeFi Protocol,8700000.0,Superfluid,CTX Exploit,False,https://rekt.news/superfluid-rekt/
['Avalanche'],Ecosystem,1632182400,DeFi Protocol,34000000.0,Vee Finance,Flashloan Price Oracle Attack,False,https://veefi.medium.com/vee-finance-attack-analysis-a4839724e085
['Ethereum'],Ecosystem,1630281600,DeFi Protocol,18800000.0,Cream Finance,Flashloan Reentrancy Attack,False,https://twitter.com/peckshield/status/1432249600002478081
['BSC'],Protocol Logic,1665014400,DeFi Protocol,570000000.0,Binance Bridge,Proof Verifier Bug,True,https://twitter.com/samczsun/status/1578167198203289600
['BSC'],Ecosystem,1619913600,DeFi Protocol,30500000.0,Spartan Protocol,Flashloan Pool Shares Exploit,False,https://peckshield-94632.medium.com/the-spartan-incident-root-cause-analysis-b14135d3415f
['Ethereum'],Ecosystem,1605139200,DeFi Protocol,2000000.0,Akropolis,Flashloan Reentrancy Attack,False,https://rekt.news/akropolis-rekt/
['Solana'],Protocol Logic,1647993600,DeFi Protocol,48000000.0,Cashio,Collateral Validation Exploit,False,https://twitter.com/samczsun/status/1506578902331768832?s=20&t=UL8INfwfJ5hgY7Vq9M3Sbw
['Ethereum'],Protocol Logic,1626912000,DeFi Protocol,8000000.0,Thorchain,Refund Logic Exploit,False,https://rekt.news/thorchain-rekt2/
['Ethereum'],Protocol Logic,1581984000,DeFi Protocol,650000.0,bZx,Flashloan Price Oracle Attack,False,https://twitter.com/bneiluj/status/1228757175595438080?s=20&t=rHc453VaZzUqbci29H6YDA
['Arbitrum'],Protocol Logic,1687824000,DeFi Protocol,370000.0,Themis Protocol,Flashloan Price Oracle Attack,False,https://twitter.com/peckshield/status/1673778002373509121
['BSC'],Protocol Logic,1624924800,DeFi Protocol,330000.0,Merlin Labs,Incentive Rewards Exploit,False,https://rekt.news/merlin3-rekt/
['Ethereum'],Ecosystem,1681344000,DeFi Protocol,11539000.0,Yearn,Flashloan Misconfiguration Exploit,False,https://twitter.com/osec_io/status/1646411672175939585?s=20
['Arbitrum'],Protocol Logic,1646265600,DeFi Protocol,1400000.0,Treasure DAO,Buy Function Exploit,False,https://twitter.com/sniko_/status/1499202361180442627?s=20&t=PmAlFn3y2dhQSStkXyDCDA
['Ethereum'],Infrastructure,1686528000,DeFi Protocol,200000.0,Keep3r Network,Private Key Compromised (Vanity Address),False,https://twitter.com/MetaSleuth/status/1668179353749041159
['BSC'],Rugpull,1641254400,DeFi Protocol,10000000.0,Arbix Finance,Drained Contracts,False,https://rekt.news/arbix-rekt/
['BSC'],Ecosystem,1622246400,DeFi Protocol,6300000.0,Belt,Flashloan Price Oracle Attack,False,https://rekt.news/belt-rekt/
['Ethereum'],Protocol Logic,1699574400,DeFi Protocol,3300000.0,Raft,Infinite Mint and Dump,False,https://twitter.com/AnciliaInc/status/1723055359034568828
['BSC'],Protocol Logic,1654646400,DeFi Protocol,2100000.0,Gym Network,Deposit Function Exploit,False,https://rekt.news/gymnet-rekt/
['Ethereum'],Protocol Logic,1615248000,DeFi Protocol,2000000.0,DODO,Access Control Exploit,False,https://rekt.news/au-dodo-rekt/
['Ethereum'],Smart Contract Language,1614384000,DeFi Protocol,14000000.0,Furucombo,Delegatecall Exploit,False,https://twitter.com/Kurt_M_Barry/status/1365876788757471234?s=20&t=LObPnVPhVbkYv7U9e-AL7w
['Ethereum'],Infrastructure,1700611200,CEX,26400000.0,Huobi,Private Key Compromised (Unknown Method),False,https://twitter.com/TheBlock__/status/1727397707843621201
['BSC'],Ecosystem,1626220800,DeFi Protocol,1260000.0,ApeRocketFi,Flashloan Incentive Rewards Exploit,False,https://www.google.com/search?q=aperocketfi+hack&oq=aperocketfi+hack&aqs=chrome..69i57j33i10i160j33i21.3640j0j4&sourceid=chrome&ie=UTF-8
"['Ethereum', 'Polygon']",Protocol Logic,1638230400,DeFi Protocol,31400000.0,MonoX,Swap Function Exploit,False,https://twitter.com/BlockSecTeam/status/1465690478414761992
[],Infrastructure,1524268800,CEX,235000000.0,Gate.io,Private Key Compromised (Unknown Method),False,https://www.justice.gov/opa/press-release/file/1253491/download
['Gnosis Chain'],Ecosystem,1647302400,DeFi Protocol,5500000.0,Agave DAO,Flashloan Reentrancy Attack,False,https://rekt.news/agave-hundred-rekt/
['Ethereum'],Protocol Logic,1587254400,DeFi Protocol,25000000.0,dForce,Reentrancy,False,https://decrypt.co/26033/dforce-lendfme-defi-hack-25m
['BSC'],Protocol Logic,1686960000,DeFi Protocol,600000.0,Midas Capital,Redeem Rounding Error Exploit,False,https://twitter.com/peckshield/status/1670148905810403330?s=20
['Arbitrum'],Ecosystem,1685232000,DeFi Protocol,7500000.0,Jimbos Protocol,Flashloan Slippage Attack,False,https://twitter.com/peckshield/status/1662650673731624961?s=20
['Algorand'],Infrastructure,1677456000,Wallet,9200000.0,MyAlgo,Cloudflare Key Compromised,False,https://twitter.com/zachxbt/status/1630375691886686208?s=20
['Base'],Protocol Logic,1690848000,DeFi Protocol,620000.0,LeetSwap,Liquidity Pools Compromised,False,https://twitter.com/TheBlock__/status/1686201265758326784
['Solana'],,1691366400,DeFi Protocol,1034999.9999999999,Cypher,Unknown,False,https://twitter.com/cypher_protocol/status/1688641036476731393
"['Ethereum', 'Bitcoin']",,1708214400,DeFi Protocol,26100000.0,FixedFloat,,False,https://cointelegraph.com/news/fixed-float-confirms-26m-exploit-bitcoin-ether
['Polygon'],Smart Contract Language,1630627200,DeFi Protocol,3450000.0,Siren Protocol,Reentrancy,False,https://twitter.com/BlockSecTeam/status/1433682132090568705?s=20&t=yoeOhpvaWABdrYwfwtTJ0Q
['Osmosis'],Protocol Logic,1703635200,DeFi Protocol,1100000.0,Levana Perps,Price Oracle Attack,False,https://twitter.com/Levana_protocol/status/1740071199483543819
['BSC'],Ecosystem,1626393600,DeFi Protocol,2400000.0,PancakeBunny,Flashloan Incentive Rewards Exploit,False,https://pancakebunny.medium.com/polybunny-post-mortem-compensation-42b5c35ce957
"['Ethereum', 'BSC', 'Polygon']",Infrastructure,1693785600,Other,41300000.0,Stake.com,Private Key Compromised (Unknown Method),False,https://twitter.com/web3isgreat/status/1698750534025441678
['Ethereum'],Rugpull,1631836800,DeFi Protocol,3100000.0,JayPegs Automart,Redirected Deposits,False,https://rekt.news/jaypegs-automart-rekt/
['Ethereum'],Protocol Logic,1644105600,DeFi Protocol,7700000.0,Meter,Deposit Function Exploit,True,https://twitter.com/ishwinder/status/1490227406824685569?s=20&t=_Ypi0s4w213ow0Rdgp4tmw
"['Ethereum', 'BSC', 'Polygon']",Protocol Logic,1628553600,DeFi Protocol,611000000.0,Poly Network,Access Control Exploit,True,https://slowmist.medium.com/the-root-cause-of-poly-network-being-hacked-ec2ee1b0c68f
['Ethereum'],Protocol Logic,1718236800,DeFi Protocol,3700000.0,UwU Lend,Flashloan Price Oracle Attack,False,https://x.com/TheBlock__/status/1801177660946612664
['Ethereum'],Protocol Logic,1703980800,DeFi Protocol,81700000.0,Orbit Bridge,Signature Exploit,True,https://cointelegraph.com/news/cross-chain-protocol-orbit-bridge-suffers-exploit-hack
['BSC'],Protocol Logic,1620345600,DeFi Protocol,11000000.0,Value DeFi,Math Mistake Exploit,False,https://twitter.com/FrankResearcher/status/1390905494844313602?s=20
['Arbitrum'],Rugpull,1684454400,DeFi Protocol,3000000.0,Swaprum,Drained Contracts,False,https://www.dlnews.com/articles/defi/defi-protocol-swaprum-in-3m-rug-pull-was-certik-audited/?utm_campaign=
['Ethereum'],Ecosystem,1627948800,DeFi Protocol,20000000.0,Popsicle Finance,Flashloan Incentive Rewards Exploit,False,https://twitter.com/Mudit__Gupta/status/1422797923037814786?s=20&t=bZ-0VnJ8b4SQbx5PkaOGYg
"['Ethereum', 'BSC', 'Bitcoin', 'Tron', 'Kadena', 'Solana', 'Dagger', 'XRP', 'BitcoinCash', 'Polygon', 'Stellar', 'Arbitrum']",Infrastructure,1694476800,CEX,55000000.0,CoinEx,Private Key Compromised (Unknown Method),False,https://www.coindesk.com/tech/2023/09/13/north-korean-attackers-linked-to-54m-coinex-hack-blockchain-data-suggests/
"['Ethereum', 'Polygon']",Ecosystem,1673395200,DeFi Protocol,80000.0,ROE Finance,Flashloan Pool Shares Exploit,False,https://twitter.com/spreekaway/status/1613205435762495488
"['Ethereum', 'BSC', 'Fantom']",Protocol Logic,1625875200,CEX,7900000.0,Anyswap,Private Key Compromised (Bad ECDSA Implementation),True,https://rekt.news/anyswap-rekt/
['Arbitrum'],Rugpull,1676851200,DeFi Protocol,1860000.0,Hope Finance,Router Exploit,False,https://twitter.com/Cointelegraph/status/1627976451814490113
['Cronos'],Infrastructure,1651622400,DeFi Protocol,2000000.0,MM Finance,DNS Spoofing,False,https://medium.com/@MMFinance/dns-hi-jacking-post-mortem-compensation-3e2b5bb21183
['Ethereum'],Protocol Logic,1700265600,DeFi Protocol,9000000.0,dYdX,Price Manipulation Attack,False,https://twitter.com/AntonioMJuliano/status/1725926693440045389
['Ethereum'],Ecosystem,1620777600,DeFi Protocol,24000000.0,XToken,Flashloan Price Oracle Attack,False,https://twitter.com/FrankResearcher/status/1392515198674681863?s=20
['Solana'],Protocol Logic,1656720000,DeFi Protocol,8800000.0,Crema,Access Control Exploit,False,https://twitter.com/Crema_Finance/status/1543638844410499073?s=20&t=tjkZ9crEBqMSfzI2BMG_oQ
"['Ethereum', 'Arbitrum']",Protocol Logic,1709078400,DeFi Protocol,6500000.0,Seneca,Token approval exploit,False,https://twitter.com/spreekaway/status/1762857769714012217
['Iota'],Infrastructure,1581465600,Wallet,2350000.0,Trinity Wallet,Cloudflare Key Compromised,False,https://blog.iota.org/trinity-attack-incident-part-1-summary-and-next-steps-8c7ccc4d81e8/
['Ethereum'],Ecosystem,1613174400,DeFi Protocol,37500000.0,Alpha Finance,Flashloan Pool Shares Exploit,False,https://blog.alphaventuredao.io/alpha-homora-v2-post-mortem/
['Arbitrum'],Protocol Logic,1709596800,DeFi Protocol,8500000.0,WOOFi,Price Oracle Manipulation,False,https://twitter.com/peckshieldalert/status/1765054155478175943
['Arbitrum'],Ecosystem,1678147200,DeFi Protocol,1590000.0,TenderFi,Outdated Oracle Exploit,False,https://twitter.com/wasgiventhatday/status/1633056446278426624?s=20
['Acala'],Protocol Logic,1628812800,DeFi Protocol,1600000.0,Acala Network,Incentives Function Mistake,False,https://twitter.com/alice_und_bob/status/1558959878475075584
['Ethereum'],Ecosystem,1612828800,DeFi Protocol,1300000.0,Growth DeFi,Flashloan Price Oracle Attack,False,https://rekt.news/the-big-combo/
['Polygon'],Infrastructure,1618790400,DeFi Protocol,59000000.0,EasyFi,Private Key Compromised (Unknown Method),False,https://medium.com/easify-network/easyfi-security-incident-pre-post-mortem-33f2942016e9
"['Ethereum', 'BSC']",Infrastructure,1638576000,CEX,196000000.0,Bitmart,Private Key Compromised (Unknown Method),False,https://rekt.news/bitmart-rekt/
['Mixin'],Ecosystem,1667692800,DeFi Protocol,22000000.0,Pando Rings,Price Oracle Attack,False,https://pando.im/news/2022/2022-11-06-alert-to-pando-community-hack-of-pando-rings/
['Ethereum'],Infrastructure,1695600000,CEX,8000000.0,HTX,Private Key Compromised (Unknown Method),False,https://twitter.com/justinsuntron/status/1706311251024822748?t=saJprSiK51MMd2GUBTnDsQ&s=19
['Ethereum'],Ecosystem,1638403200,DeFi Protocol,11000000.0,Saddle Finance,Flashloan Swap Logic Exploit,False,https://rekt.news/saddle-finance-rekt2/
"['Ethereum', 'BSC']",Protocol Logic,1664668800,DeFi Protocol,21000000.0,Transit Swap,Transfer Logic Exploit,False,https://rekt.news/transit-swap-rekt/
['Ethereum'],Ecosystem,1635292800,DeFi Protocol,130000000.0,Cream,Flashloan Price Oracle Attack,False,https://rekt.news/cream-rekt-2/
['Ethereum'],Ecosystem,1601251200,DeFi Protocol,15000000.0,Eminence,Flashloan Price Oracle Attack,False,https://rekt.news/eminence-rekt-in-prod/
['Terra'],Smart Contract Language,1633651200,DeFi Protocol,90000000.0,Mirror Protocol,Duplicate Call Exploit,False,https://blocksecteam.medium.com/how-the-mirror-protocol-is-exploited-33b5c1d48322
['Ethereum'],Protocol Logic,1665446400,DeFi Protocol,2300000.0,TempleDAO,Exploit Lack of Input Authentication,False,https://twitter.com/FrankResearcher/status/1579840347647414272?s=20&t=Ld2QjyQea4YYyVt3BKyJsA
"['Tron', 'Ethereum', 'Bitcoin']",Infrastructure,1699574400,CEX,126000000.0,Poloniex,Private Key Compromised (Unknown Method),False,https://twitter.com/peckshield/status/1722931275764474329
['Ethereum'],Protocol Logic,1716163200,DeFi Protocol,22000000.0,Gala,Infinite Mint and Dump,False,https://x.com/Thatguysgems/status/1792679865164128743
['Hedera'],Protocol Logic,1678406400,DeFi Protocol,515000.0,Hedera,Unknown,False,https://rekt.news/hedera-rekt/
['Heco'],Protocol Logic,1673827200,DeFi Protocol,6000000.0,Lendhub,Collateral Offboarding Mistake,False,https://twitter.com/SlowMist_Team/status/1613906590574198784?s=20
['Ethereum'],Protocol Logic,1658707200,DeFi Protocol,6000000.0,Audius,Malicious Governance Proposal,False,https://rekt.news/audius-rekt/
['Solana'],Ecosystem,1658966400,DeFi Protocol,3500000.0,Nirvana Finance,Flashloan Price Oracle Attack,False,https://twitter.com/osec_io/status/1552589378719207424?s=20&t=I8QXz7iG0z7hjvfCA579LA
['Ethereum'],Ecosystem,1648857600,DeFi Protocol,15600000.0,Inverse Finance,Price Oracle Attack,False,https://twitter.com/FrankResearcher/status/1510239094777032713?s=20&t=RBNXo-6wEDCiBE5a9nO0-Q
